log	pdb	match	log_id	pdb_id
/home/tau/projects/t99_calc/v1/qchem_data/log_to_pdb_in/1H_butane.log	/home/tau/projects/t99_calc/v1/qchem_data/log_to_pdb_out/1H_butane.pdb	ok	InChI=1S/C4HF9/c5-1(6)2(7,8)3(9,10)4(11,12)13/h1H	InChI=1S/C4HF9/c5-1(6)2(7,8)3(9,10)4(11,12)13/h1H
/home/tau/projects/t99_calc/v1/qchem_data/log_to_pdb_in/1H_decane.log	/home/tau/projects/t99_calc/v1/qchem_data/log_to_pdb_out/1H_decane.pdb	ok	InChI=1S/C10HF21/c11-1(12)2(13,14)3(15,16)4(17,18)5(19,20)6(21,22)7(23,24)8(25,26)9(27,28)10(29,30)31/h1H	InChI=1S/C10HF21/c11-1(12)2(13,14)3(15,16)4(17,18)5(19,20)6(21,22)7(23,24)8(25,26)9(27,28)10(29,30)31/h1H
/home/tau/projects/t99_calc/v1/qchem_data/log_to_pdb_in/1H_dodecane.log	/home/tau/projects/t99_calc/v1/qchem_data/log_to_pdb_out/1H_dodecane.pdb	ok	InChI=1S/C12HF25/c13-1(14)2(15,16)3(17,18)4(19,20)5(21,22)6(23,24)7(25,26)8(27,28)9(29,30)10(31,32)11(33,34)12(35,36)37/h1H	InChI=1S/C12HF25/c13-1(14)2(15,16)3(17,18)4(19,20)5(21,22)6(23,24)7(25,26)8(27,28)9(29,30)10(31,32)11(33,34)12(35,36)37/h1H
/home/tau/projects/t99_calc/v1/qchem_data/log_to_pdb_in/1H_ethane.log	/home/tau/projects/t99_calc/v1/qchem_data/log_to_pdb_out/1H_ethane.pdb	ok	InChI=1S/C2HF5/c3-1(4)2(5,6)7/h1H	InChI=1S/C2HF5/c3-1(4)2(5,6)7/h1H
/home/tau/projects/t99_calc/v1/qchem_data/log_to_pdb_in/1H_heptane.log	/home/tau/projects/t99_calc/v1/qchem_data/log_to_pdb_out/1H_heptane.pdb	ok	InChI=1S/C7HF15/c8-1(9)2(10,11)3(12,13)4(14,15)5(16,17)6(18,19)7(20,21)22/h1H	InChI=1S/C7HF15/c8-1(9)2(10,11)3(12,13)4(14,15)5(16,17)6(18,19)7(20,21)22/h1H
/home/tau/projects/t99_calc/v1/qchem_data/log_to_pdb_in/1H_hexane.log	/home/tau/projects/t99_calc/v1/qchem_data/log_to_pdb_out/1H_hexane.pdb	ok	InChI=1S/C6HF13/c7-1(8)2(9,10)3(11,12)4(13,14)5(15,16)6(17,18)19/h1H	InChI=1S/C6HF13/c7-1(8)2(9,10)3(11,12)4(13,14)5(15,16)6(17,18)19/h1H
/home/tau/projects/t99_calc/v1/qchem_data/log_to_pdb_in/1H_methane.log	/home/tau/projects/t99_calc/v1/qchem_data/log_to_pdb_out/1H_methane.pdb	ok	InChI=1S/CHF3/c2-1(3)4/h1H	InChI=1S/CHF3/c2-1(3)4/h1H
/home/tau/projects/t99_calc/v1/qchem_data/log_to_pdb_in/1H_nonane.log	/home/tau/projects/t99_calc/v1/qchem_data/log_to_pdb_out/1H_nonane.pdb	ok	InChI=1S/C9HF19/c10-1(11)2(12,13)3(14,15)4(16,17)5(18,19)6(20,21)7(22,23)8(24,25)9(26,27)28/h1H	InChI=1S/C9HF19/c10-1(11)2(12,13)3(14,15)4(16,17)5(18,19)6(20,21)7(22,23)8(24,25)9(26,27)28/h1H
/home/tau/projects/t99_calc/v1/qchem_data/log_to_pdb_in/1H_octane.log	/home/tau/projects/t99_calc/v1/qchem_data/log_to_pdb_out/1H_octane.pdb	ok	InChI=1S/C8HF17/c9-1(10)2(11,12)3(13,14)4(15,16)5(17,18)6(19,20)7(21,22)8(23,24)25/h1H	InChI=1S/C8HF17/c9-1(10)2(11,12)3(13,14)4(15,16)5(17,18)6(19,20)7(21,22)8(23,24)25/h1H
/home/tau/projects/t99_calc/v1/qchem_data/log_to_pdb_in/1H_pentane.log	/home/tau/projects/t99_calc/v1/qchem_data/log_to_pdb_out/1H_pentane.pdb	ok	InChI=1S/C5HF11/c6-1(7)2(8,9)3(10,11)4(12,13)5(14,15)16/h1H	InChI=1S/C5HF11/c6-1(7)2(8,9)3(10,11)4(12,13)5(14,15)16/h1H
/home/tau/projects/t99_calc/v1/qchem_data/log_to_pdb_in/1H_propane.log	/home/tau/projects/t99_calc/v1/qchem_data/log_to_pdb_out/1H_propane.pdb	ok	InChI=1S/C3HF7/c4-1(5)2(6,7)3(8,9)10/h1H	InChI=1S/C3HF7/c4-1(5)2(6,7)3(8,9)10/h1H
/home/tau/projects/t99_calc/v1/qchem_data/log_to_pdb_in/1H_undecane.log	/home/tau/projects/t99_calc/v1/qchem_data/log_to_pdb_out/1H_undecane.pdb	ok	InChI=1S/C11HF23/c12-1(13)2(14,15)3(16,17)4(18,19)5(20,21)6(22,23)7(24,25)8(26,27)9(28,29)10(30,31)11(32,33)34/h1H	InChI=1S/C11HF23/c12-1(13)2(14,15)3(16,17)4(18,19)5(20,21)6(22,23)7(24,25)8(26,27)9(28,29)10(30,31)11(32,33)34/h1H
/home/tau/projects/t99_calc/v1/qchem_data/log_to_pdb_in/1Hbutane.log	/home/tau/projects/t99_calc/v1/qchem_data/log_to_pdb_out/1Hbutane.pdb	ok	InChI=1S/C4HF9/c5-1(6)2(7,8)3(9,10)4(11,12)13/h1H	InChI=1S/C4HF9/c5-1(6)2(7,8)3(9,10)4(11,12)13/h1H
/home/tau/projects/t99_calc/v1/qchem_data/log_to_pdb_in/1_butane.log	/home/tau/projects/t99_calc/v1/qchem_data/log_to_pdb_out/1_butane.pdb	ok	InChI=1S/C4HF7O2/c5-2(6,1(12)13)3(7,8)4(9,10)11/h(H,12,13)	InChI=1S/C4HF7O2/c5-2(6,1(12)13)3(7,8)4(9,10)11/h(H,12,13)
/home/tau/projects/t99_calc/v1/qchem_data/log_to_pdb_in/1_butene.log	/home/tau/projects/t99_calc/v1/qchem_data/log_to_pdb_out/1_butene.pdb	ok	InChI=1S/C4F8/c5-1(2(6)7)3(8,9)4(10,11)12	InChI=1S/C4F8/c5-1(2(6)7)3(8,9)4(10,11)12
/home/tau/projects/t99_calc/v1/qchem_data/log_to_pdb_in/1_heptane.log	/home/tau/projects/t99_calc/v1/qchem_data/log_to_pdb_out/1_heptane.pdb	ok	InChI=1S/C7HF13O2/c8-2(9,1(21)22)3(10,11)4(12,13)5(14,15)6(16,17)7(18,19)20/h(H,21,22)	InChI=1S/C7HF13O2/c8-2(9,1(21)22)3(10,11)4(12,13)5(14,15)6(16,17)7(18,19)20/h(H,21,22)
/home/tau/projects/t99_calc/v1/qchem_data/log_to_pdb_in/1_hexane.log	/home/tau/projects/t99_calc/v1/qchem_data/log_to_pdb_out/1_hexane.pdb	ok	InChI=1S/C6HF11O2/c7-2(8,1(18)19)3(9,10)4(11,12)5(13,14)6(15,16)17/h(H,18,19)	InChI=1S/C6HF11O2/c7-2(8,1(18)19)3(9,10)4(11,12)5(13,14)6(15,16)17/h(H,18,19)
